House,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Distance_to_coast
House 3206,2.6145,10,3674,734,1864,718,154481.1948
House 3207,2.8125,30,1765,310,746,298,153141.5338
House 3208,3.5536,26,1463,261,699,219,153074.3667
House 3209,1.8385,14,2928,600,1633,559,152343.1097
House 3210,3.0139,32,1492,284,926,264,153700.6341
House 3211,2.2333,36,1518,287,749,255,151616.4799
House 3212,2.6397,32,1338,276,859,286,151065.6203
House 3213,1.8529,46,1730,337,752,323,151732.8087
House 3214,3.0846,47,1869,357,832,315,151732.8087
House 3215,1.8606,32,2958,670,1504,627,152402.4014
House 3216,1.4524,41,3095,766,1852,721,151667.8183
House 3217,2.3523,52,1257,257,624,243,150994.8822
House 3218,1.3882,47,1059,268,693,241,150994.8822
House 3219,1.7596,26,592,121,268,116,148247.0288
House 3220,2.9375,19,1241,244,850,237,149656.2029
House 3221,4.0909,16,2048,373,1052,388,150324.333
House 3222,1.4194,10,1623,409,988,395,150324.333
House 3223,2.3256,24,2652,568,1532,445,149587.637
House 3224,2.5833,28,1325,276,873,240,148247.0288
House 3225,2.9936,12,2739,535,1859,498,147508.167
House 3226,3.3681,18,1147,202,717,212,148128.2926
House 3227,1.5433,11,1294,314,713,290,150261.5594
House 3228,1.3569,32,2205,523,1772,479,150937.8509
House 3229,2.3466,28,941,175,588,180,148808.9972
House 3230,1.5909,27,1513,314,1071,284,150212.5667
House 3231,1.8839,25,1847,371,1460,353,152265.3316
House 3232,2.625,20,2673,452,1394,449,152273.2677
House 3233,2.395,35,2011,349,970,300,142485.3351
House 3234,2.4286,23,207,45,171,50,141968.4968
House 3235,2.25,32,752,159,524,155,140571.3299
House 3236,2.3889,6,2015,413,992,319,140924.8101
House 3237,1.3967,21,1382,327,1469,355,140740.8005
House 3238,1.5313,29,424,78,284,73,142270.6251
House 3239,2.13,25,1093,262,893,252,142270.6251
House 3240,3.2847,35,1648,285,792,265,141693.7633
House 3241,1.85,14,1267,290,1077,279,141693.7633
House 3242,1.6607,37,766,189,639,190,141123.3038
House 3243,2.2169,21,2004,385,1397,398,141330.494
House 3244,1.5727,16,1461,400,1201,384,141504.9039
House 3245,3.5313,36,1729,317,737,278,141504.9039
House 3246,2.0595,37,1676,316,707,274,141504.9039
House 3247,2.4688,21,1548,308,1137,306,132049.987
House 3248,1.875,43,187,38,106,40,124693.9971
House 3249,2.0221,33,1293,272,694,229,129274.1741
House 3250,0.4999,23,333,92,198,55,110465.7401
House 3251,2.0976,25,1047,270,1505,286,105559.8581
House 3252,3.05,20,156,39,171,37,119286.1589
House 3253,2.9708,27,2533,518,1371,461,96829.102
House 3254,2.2167,18,1165,334,1119,308,95830.63457
House 3255,2.0335,33,1726,420,1371,388,93753.96799
House 3256,2.25,7,2049,482,1387,422,94342.09396
House 3257,2.375,26,48,8,13,8,85341.53555
House 3258,3.125,16,259,53,131,38,97526.35178
House 3259,0.4999,16,411,114,26,19,76935.1316
House 3260,3.9519,39,1295,240,534,179,71877.40815
House 3261,2.0208,43,89,18,86,27,70231.94785
House 3262,4.35,44,202,42,142,39,70124.1059
House 3263,2.575,45,1314,277,649,232,70982.78737
House 3264,2.2188,20,1125,231,521,196,69917.08658
House 3265,3.8333,24,1098,193,353,145,56046.53878
House 3266,3.25,17,380,69,225,72,65120.5311
House 3267,2.2551,10,1588,333,585,254,66896.29832
House 3268,1.9141,15,2483,544,835,380,64702.81389
House 3269,4,24,341,64,146,57,62699.3881
House 3270,2.8906,18,681,120,272,105,63145.38917
House 3271,3.45,14,1582,301,851,273,53703.92515
House 3272,2.4423,21,2202,484,1000,381,62523.10559
House 3273,1.939,21,1236,238,601,261,61750.58748
House 3274,3.5652,16,1548,295,605,250,60358.67663
House 3275,3.2216,20,1128,229,621,210,60988.55791
House 3276,2.5457,38,3131,624,1591,568,60358.67663
House 3277,3.7667,27,789,208,295,108,60988.55791
House 3278,1.3532,14,2374,557,723,427,59497.57093
House 3279,3.3929,13,532,111,214,62,81236.4946
House 3280,1.6369,15,1927,427,810,321,69695.46199
House 3281,2.0417,24,3127,674,1015,448,66423.67228
House 3282,1.4679,26,2191,495,679,371,69091.50642
House 3283,1.625,20,1798,395,685,331,71708.67162
House 3284,1.4676,17,1880,467,798,342,70334.52288
House 3285,1.5208,23,952,200,321,128,71002.32649
House 3286,2.6181,15,1601,323,661,269,69639.65838
House 3287,1.3,11,1264,271,370,177,87763.56728
House 3288,2.7639,9,254,50,66,29,75430.10627
House 3289,1.9833,23,1618,395,425,244,72532.51314
House 3290,2.1094,27,2199,527,744,316,73661.1953
House 3291,1.165,27,1446,329,594,255,75957.24323
House 3292,1.7446,16,3715,810,943,510,75015.7097
House 3293,2.3125,18,793,148,186,59,71308.5138
House 3294,2.3558,18,1177,224,181,105,70357.22527
House 3295,1.8571,16,4279,951,1596,666,72704.35083
House 3296,1.6607,16,975,219,337,155,79593.19106
House 3297,2.1838,27,2300,508,526,254,70339.6249
House 3298,1.1912,32,1856,472,703,292,70879.51502
House 3299,1.75,17,1708,459,633,312,71003.64665
House 3300,1.6865,19,2230,538,832,359,70650.10172
House 3301,2.3179,14,1731,400,638,282,69779.03809
House 3302,4.3897,14,231,36,108,31,69465.9405
House 3303,1.4767,16,1657,390,572,301,70023.39646
House 3304,2.0577,16,1914,446,828,332,71527.84361
House 3305,2.3083,20,2507,577,1072,457,71003.64665
House 3306,1.6769,27,2143,580,898,367,69975.75581
House 3307,1.7273,29,883,187,326,136,70486.23388
House 3308,1.2029,28,1503,370,522,268,69595.20693
House 3309,1.7083,11,686,127,246,86,70119.26834
House 3310,1.7566,25,661,144,192,93,69241.45126
House 3311,1.125,18,3844,969,1832,845,69241.45126
House 3312,1.5455,13,524,129,215,90,69779.03809
House 3313,3.2375,17,2554,540,723,319,68469.17312
House 3314,3.4187,17,4162,967,889,414,69266.59669
House 3315,1.8833,23,642,203,265,84,66995.81979
House 3316,3.0466,11,5175,971,2144,792,64743.59127
House 3317,3.125,9,1245,234,517,187,66163.41876
House 3318,1.375,20,41,18,94,10,62436.60711
House 3319,2.5326,20,1592,327,647,253,64220.43804
House 3320,1.8704,20,1580,318,753,252,61477.46275
House 3321,1.6833,15,289,49,191,54,62260.41711
House 3322,1.6164,17,1383,347,719,296,61646.0243
House 3323,1.7196,21,939,176,556,178,60923.85933
House 3324,2.9934,20,2067,384,904,333,54624.70389
House 3325,2.7188,20,1214,247,504,223,54293.15683
House 3326,1.8692,15,1318,296,567,276,60459.87332
House 3327,4.0119,26,712,140,293,100,60570.18767
House 3328,3.4514,11,640,134,268,90,55141.59364
House 3329,1.9906,29,2781,617,890,310,59219.62008
House 3330,3.3531,12,4515,909,1554,528,53741.3225
House 3331,2.1964,10,304,63,161,61,74897.86693
House 3332,2.1953,15,1410,329,599,273,69750.96741
House 3333,2.9583,23,292,56,92,41,67517.61412
House 3334,1.8417,13,520,115,249,109,68057.96938
House 3335,4.125,30,70,38,20,13,66423.92408
House 3336,1.5739,16,1177,240,519,199,62721.47864
House 3337,2.5625,12,2394,443,877,341,67898.09363
House 3338,4.0435,9,2589,482,1050,374,63356.09621
House 3339,3.8831,7,3639,637,1027,421,63798.9329
House 3340,3.375,15,764,145,366,143,59008.67126
House 3341,3.4375,22,852,176,461,142,56687.84966
House 3342,2.3125,29,994,226,302,117,51606.81932
House 3343,2.1474,21,1425,323,727,287,53586.93302
House 3344,2.625,20,531,126,231,96,50889.57377
House 3345,0.536,26,102,17,43,13,59230.18645
House 3346,2.7188,26,1707,308,761,250,249861.369
House 3347,2.5,29,779,136,364,123,261505.5927
House 3348,3.6641,17,976,202,511,175,257737.3407
House 3349,1.6833,27,777,185,318,115,311911.7601
House 3350,3.625,33,240,49,63,22,303538.6386
House 3351,1.7214,11,2635,667,280,132,277649.8598
House 3352,3.3036,17,890,167,406,154,252653.5937
House 3353,2.5,19,683,139,302,111,250840.2047
House 3354,2.1833,52,5486,1044,1977,754,246927.3787
House 3355,3.5962,15,5343,1002,2503,902,280664.7973
House 3356,2.6902,15,2045,461,1121,402,276247.2547
House 3357,2.5074,35,1450,325,717,297,272738.94
House 3358,2.1875,39,3240,652,1467,621,273002.5882
House 3359,2.2992,52,2081,478,1051,419,271681.9832
House 3360,1.5066,50,1741,424,987,383,272213.8719
House 3361,3.5536,19,4462,828,2229,777,265091.0138
House 3362,2.2661,16,3412,667,1873,590,269680.4631
House 3363,2.4757,26,1652,313,762,280,275405.5657
House 3364,1.7333,19,689,143,355,127,284485.8217
House 3365,5.5179,36,36,8,4198,7,275908.1739
House 3366,3.4028,17,3391,623,1529,571,262534.3557
House 3367,3.4643,16,1821,360,969,359,266049.4639
House 3368,2.1198,21,789,141,406,146,255329.7896
House 3369,2.6765,26,2399,518,1037,443,270405.9675
House 3370,1.7267,19,2335,518,1028,383,241556.4683
House 3371,6.1946,27,5205,859,2363,888,35518.51934
House 3372,4.9833,32,1079,207,486,167,34076.69968
House 3373,4.008,33,3177,713,1845,612,33522.36203
House 3374,3.5568,37,2824,633,1619,573,32984.39165
House 3375,4.81,42,2186,423,1145,439,32984.39165
House 3376,3.5214,35,2045,450,1166,407,33204.10605
House 3377,2.6036,29,2559,787,1886,769,33204.10605
House 3378,2.4727,19,1988,594,1399,527,32634.88178
House 3379,3.0795,8,5568,1514,3565,1374,32634.88178
House 3380,5.0234,37,2489,454,1215,431,33788.81546
House 3381,4.4485,35,2091,360,879,326,33788.81546
House 3382,6.3688,30,2180,369,1050,390,32946.2099
House 3383,4.6635,35,779,143,371,150,33788.81546
House 3384,4.4375,39,699,150,358,143,33788.81546
House 3385,4.45,32,2542,526,1278,493,32346.20085
House 3386,5.6184,29,3390,580,1543,576,32346.20085
House 3387,3.1523,36,1300,304,688,261,32081.96691
House 3388,4.2639,31,6434,1188,3540,1131,29594.14085
House 3389,5.997,19,9259,1653,3963,1595,26727.92099
House 3390,4.1302,30,1260,222,638,229,26727.92099
House 3391,3.275,39,1470,312,1047,284,25798.01338
House 3392,3.75,42,1073,220,804,226,25798.01338
House 3393,5.1145,34,3258,610,1810,633,34332.88669
House 3394,6.0808,35,1446,274,759,291,33392.81153
House 3395,3.599,43,1510,310,809,277,32984.39165
House 3396,4.1964,40,1065,214,605,183,32984.39165
House 3397,4.2685,38,2264,460,1124,388,32463.60225
House 3398,3.0583,41,1297,327,733,315,32463.60225
House 3399,4.1339,34,1797,363,948,363,32463.60225
House 3400,4.4875,32,3690,791,1804,715,31960.8337
House 3401,4.6944,30,3214,513,1700,533,32548.07794
House 3402,3.1349,29,3034,732,1776,702,32434.55301
House 3403,6.2037,32,604,108,314,113,31554.65041
House 3404,5.2661,37,1776,301,702,265,31012.83377
House 3405,6.1464,34,2795,460,1267,443,29593.10236
House 3406,6.838,34,3677,573,1598,568,30147.52058
House 3407,3.1607,28,1643,489,1142,458,32984.39165
House 3408,4.5833,44,1442,285,859,292,32081.96691
House 3409,5.76,37,1444,246,624,239,32463.60225
House 3410,3.8,36,1882,453,1005,409,32463.60225
House 3411,4.4375,24,5106,1010,2310,957,31960.8337
House 3412,4.4818,24,4694,820,3566,777,31098.32638
House 3413,4.7932,22,4428,825,3152,836,31426.63376
House 3414,3.3304,16,6573,1480,6161,1473,30794.02766
House 3415,2.8214,8,3248,847,2608,731,30396.43695
House 3416,3.35,35,1008,204,1162,215,31580.08098
House 3417,4.2969,32,1591,320,1818,306,31580.08098
House 3418,4.125,29,1271,272,1338,266,30260.2964
House 3419,3.7566,32,2574,531,2609,472,30514.45588
House 3420,2.6652,22,3517,810,3134,847,30794.02766
House 3421,3.2865,35,822,200,1197,203,30260.2964
House 3422,2.8,34,1999,427,2391,439,30260.2964
House 3423,1.6295,33,1209,341,1097,283,29188.81752
House 3424,3.3214,33,937,216,1216,212,29188.81752
House 3425,2.6667,35,674,153,808,173,29188.81752
House 3426,3.0132,30,1384,308,2054,301,30032.19441
House 3427,4.2353,31,1130,276,1533,269,28952.24687
House 3428,3.024,36,1002,250,1312,249,28952.24687
House 3429,3.225,37,1024,246,1371,239,29188.81752
House 3430,3.5104,30,1246,373,1990,369,27874.81583
House 3431,3.2583,37,1269,348,1835,335,27874.81583
House 3432,3.4,35,777,187,1022,186,28743.20742
House 3433,2.9519,43,729,172,935,174,27874.81583
House 3434,3.6791,37,1545,341,1909,352,27055.65951
House 3435,2.9205,35,1447,335,1630,306,26800.20481
House 3436,2.1062,26,1788,521,2582,484,28120.48114
House 3437,2.5313,38,870,205,1065,222,28393.86563
House 3438,3.4519,36,973,221,1086,218,28120.48114
House 3439,3.9,37,1789,424,2279,411,28120.48114
House 3440,2.9219,38,858,203,1250,204,29452.25596
House 3441,1.4867,35,2700,702,3444,679,29188.81752
House 3442,4.2538,13,4379,872,2560,853,28694.17703
House 3443,2.2019,13,1872,497,1927,432,27651.52644
House 3444,1.95,19,280,84,483,87,27339.72733
House 3445,2.6429,33,827,192,981,184,27339.72733
House 3446,3.6016,36,1146,259,1173,272,27339.72733
House 3447,3.2284,18,3447,857,3663,817,27339.72733
House 3448,2.525,17,2049,548,2243,541,25994.78457
House 3449,3.6292,36,1430,331,1502,312,27055.65951
House 3450,4.233,34,2657,515,1948,532,34372.3977
House 3451,5.901,18,5891,920,2882,911,35461.61492
House 3452,4.1724,14,6235,1286,3568,1190,34196.61177
House 3453,3.9583,19,6755,1443,4205,1395,33490.56754
House 3454,3.6548,29,3334,712,2919,718,32411.43411
House 3455,5.2987,18,6572,1105,3473,1067,34794.35545
House 3456,5.1668,28,3187,569,2205,559,32648.79589
House 3457,4.3409,30,3027,604,1970,590,34571.78081
House 3458,4.0301,14,4151,941,3163,915,33103.10071
House 3459,2.7472,22,3182,822,2661,746,33103.10071
House 3460,3.4,38,1595,314,1181,327,32010.86001
House 3461,4.0556,9,1739,358,820,323,32946.22007
House 3462,4.26,23,3481,641,1952,682,34044.78856
House 3463,4.1514,10,5777,1112,2917,1056,33917.24986
House 3464,4.4773,28,1532,287,977,275,32946.22007
House 3465,4.0337,32,2424,476,2291,419,31712.17775
House 3466,4.2708,24,2920,601,1460,598,32814.39619
House 3467,4.8988,13,2664,518,1468,521,33814.27046
House 3468,6.0891,9,2384,395,1697,402,34574.61983
House 3469,3,31,1091,256,892,238,32472.83747
House 3470,3.6736,16,2495,551,2314,567,31601.98742
House 3471,3.0526,24,3668,890,3151,810,30610.66319
House 3472,4.2935,18,4256,987,3401,955,30496.47952
House 3473,9.2873,26,4516,611,1714,581,30069.66608
House 3474,6.8695,27,2535,389,1071,386,29023.74818
House 3475,6.6458,31,3508,585,1957,588,29023.74818
House 3476,7.0598,25,1024,145,357,147,32174.79013
House 3477,8.1248,18,7498,976,3189,955,32508.46321
House 3478,7.5078,24,6145,868,2710,875,30577.81083
House 3479,6.3911,29,4239,653,1890,631,28441.30774
House 3480,6.4171,29,1287,194,525,187,29507.94503
House 3481,7.7464,28,2272,320,868,312,29266.45612
House 3482,8.8467,17,4542,621,2144,597,30344.86505
House 3483,4.3047,27,2676,652,2661,623,31848.58031
House 3484,3.4812,35,4085,919,3988,906,31848.58031
House 3485,6.7248,18,5481,780,2477,764,27774.13728
House 3486,8.1125,16,8879,1239,3468,1200,27609.55487
House 3487,10.8805,10,7665,999,3517,998,27774.13728
House 3488,8.2159,22,4423,622,1995,582,29958.40679
House 3489,7.0808,4,6995,1151,2907,1089,28477.27092
House 3490,3.5714,38,1527,332,1303,340,29656.49936
House 3491,5.5931,23,1663,302,1242,283,29509.9313
House 3492,5.1408,33,1549,264,881,289,28286.97859
House 3493,5.3107,35,2132,368,1128,341,29301.41901
House 3494,5.5608,35,1511,274,873,254,29301.41901
House 3495,2.7353,17,1444,282,523,270,28286.97859
House 3496,5.741,35,1150,185,741,178,28286.97859
House 3497,4.9323,34,1231,222,702,222,28193.40184
House 3498,4.9955,33,2649,449,1303,437,28193.40184
House 3499,3.705,33,1194,229,839,230,28562.30366
House 3500,5.1296,35,1579,300,1012,265,28562.30366
House 3501,4.8015,30,1576,282,1004,284,28410.07308
House 3502,2.6193,28,1865,463,1182,440,28410.07308
House 3503,3.5347,36,1111,275,1333,266,28743.20742
House 3504,3.3603,29,1701,419,1616,371,28743.20742
House 3505,4.8359,35,1724,311,992,315,27469.53382
House 3506,4.3839,36,1453,270,808,275,26378.36705
House 3507,4.175,35,1637,300,894,302,27469.53382
House 3508,5.0947,33,1358,247,738,235,27311.19406
House 3509,4.9485,36,1394,254,761,262,27311.19406
House 3510,4.2143,33,2202,433,1135,407,26213.4174
House 3511,3.6989,32,2217,422,1064,427,26213.4174
House 3512,3.8875,34,1300,289,650,291,27183.1087
House 3513,5.5792,35,1898,344,1123,347,27183.1087
House 3514,5.749,36,1770,296,938,304,27085.70695
House 3515,4.6591,27,2722,468,1164,419,26947.77948
House 3516,4.1492,34,1732,399,1120,401,26079.92525
House 3517,5.1619,36,1951,395,1040,375,25978.37556
House 3518,4.9688,35,1442,276,795,268,25978.37556
House 3519,5.1068,35,1865,335,1074,337,25978.37556
House 3520,4.3333,33,2088,383,960,362,25909.14391
House 3521,5.5714,34,4877,815,2521,781,27982.92262
House 3522,4.58,33,3047,527,1578,507,27982.92262
House 3523,4.869,35,2235,390,1148,416,27666.95213
House 3524,5.4065,34,3580,565,1694,524,28441.30774
House 3525,7.8193,33,1975,271,801,287,28190.65332
House 3526,4.055,34,3787,771,1966,738,27378.2763
House 3527,4.1042,36,2276,429,1001,419,27378.2763
House 3528,5.5649,36,3204,538,1499,499,27117.7668
House 3529,5.3847,32,1931,298,948,314,26886.24241
House 3530,8.176,18,3674,577,1590,550,25807.00971
House 3531,5.6912,22,5303,838,2372,807,25596.69339
House 3532,6.7415,28,2309,300,931,302,26684.45758
House 3533,5.634,33,1927,305,896,293,26886.24241
House 3534,10.9052,23,4960,592,1929,586,25596.69339
House 3535,8.203,21,4018,536,1508,529,25417.97331
House 3536,8.1356,25,4919,661,2183,625,26513.09135
House 3537,4.8316,33,2831,510,1340,504,26619.48561
House 3538,3.7816,21,8850,2139,4717,1979,26048.15693
House 3539,5.5433,29,2472,354,1109,397,26319.28762
House 3540,4.6625,11,7849,1664,3561,1500,24982.24457
House 3541,3.5497,25,8389,1872,4483,1747,26947.77948
House 3542,5,28,4054,712,2164,746,25909.14391
House 3543,9.6047,20,7384,845,2795,872,26263.8908
House 3544,7.167,20,8146,1131,3562,1054,25030.79922
House 3545,6.0137,17,5406,895,2337,882,22816.87071
House 3546,4.8333,9,4759,924,1884,915,22973.50617
House 3547,6.3249,15,10860,1653,4178,1581,25093.3325
House 3548,5.6392,18,6154,1070,3010,1034,25017.83416
House 3549,5.5111,16,8295,1506,3903,1451,23927.74082
House 3550,6.5146,18,1376,225,670,205,20768.91644
House 3551,6.8643,25,2762,410,1166,439,20915.94326
House 3552,6.1288,18,897,142,263,110,22400.7944
House 3553,6.1419,26,3727,572,1724,530,21706.11112
House 3554,7.3252,24,5256,758,2474,780,20595.47991
House 3555,3.2564,19,8866,2355,5005,2194,21682.02203
House 3556,3.0347,17,6592,1525,4459,1463,21696.98582
House 3557,8.565,31,1962,243,697,242,24171.28565
House 3558,8.1714,23,2980,362,1208,378,23072.17475
House 3559,5.6149,34,5098,778,2239,778,24052.45122
House 3560,3.2426,26,3239,647,1529,590,22859.49915
House 3561,3.6231,15,9716,2387,4992,2225,23919.46505
House 3562,8.7471,20,4679,609,1945,609,24052.45122
House 3563,5.521,23,4883,769,2119,725,23968.38881
House 3564,5.5126,36,3215,529,1710,539,21974.35568
House 3565,4.6944,36,2406,432,1242,454,21974.35568
House 3566,4.9676,22,3275,648,1746,585,21843.54156
House 3567,4.1023,29,3907,773,2037,727,21750.92189
House 3568,3.4091,14,4407,1209,2676,1128,21696.98582
House 3569,4.8929,35,1917,314,1019,340,21750.92189
House 3570,4.875,35,1969,339,950,340,20642.70736
House 3571,4.0077,17,6015,1464,3056,1347,20585.86116
House 3572,8.8612,24,4338,558,1514,549,25264.85008
House 3573,8.6454,31,5297,664,1986,657,24215.55821
House 3574,7.2772,36,3324,448,1190,423,23172.11104
House 3575,3.0926,6,3218,949,2295,876,23920.52402
House 3576,8.3841,35,1471,210,735,219,22863.57925
House 3577,3.3892,20,6331,1537,2957,1509,24730.67591
House 3578,3.0977,24,4631,1164,2360,1083,23427.97837
House 3579,2.9076,24,2718,719,3018,644,23657.63667
House 3580,4.375,35,3422,601,1690,574,22347.68874
House 3581,3.2404,27,2131,543,1065,528,22588.36153
House 3582,6.2788,26,2639,378,1191,401,24511.09974
House 3583,4.3458,21,5751,1082,2230,1016,23232.53456
House 3584,2.8727,25,4409,1018,4579,1010,22142.68733
House 3585,4.7926,27,4580,918,2252,850,23172.11104
House 3586,3.2289,21,4617,1101,2891,1031,21812.10454
House 3587,3.0321,32,4039,984,2675,941,22588.36153
House 3588,3.6187,34,2193,513,1299,497,21270.66232
House 3589,4.125,29,1753,342,1318,333,22347.68874
House 3590,5.2801,34,2094,380,1207,380,26378.36705
House 3591,3.8583,11,5363,1160,2783,1034,25116.88763
House 3592,4.5417,21,2692,477,1330,456,26079.92525
House 3593,2.3111,19,2405,661,1855,621,24977.51921
House 3594,6.6537,32,2621,412,1285,414,24871.45622
House 3595,5.0232,30,2871,470,1335,458,25909.14391
House 3596,5.2939,35,2707,446,1224,445,24799.12599
House 3597,6.0965,34,1971,316,917,307,24799.12599
House 3598,4.8164,32,2333,389,969,331,25577.46368
House 3599,6.155,32,2411,380,1040,344,25577.46368
House 3600,5.9401,34,2634,412,1114,423,24541.57988
House 3601,4.5167,26,3082,573,1590,586,23512.64551
House 3602,5.2668,32,4373,683,2040,693,23689.28923
House 3603,5.0325,30,1756,314,899,288,22579.66033
House 3604,2.5008,22,8350,2717,9135,2452,23875.99826
House 3605,4.7583,35,1963,310,919,297,23765.00652
House 3606,6.5268,30,1762,263,761,292,23765.00652
House 3607,4.5484,29,3354,707,1752,650,23765.00652
House 3608,2.7121,20,4609,1499,5349,1377,24021.77552
House 3609,3.0187,16,6338,1768,4718,1632,24021.77552
House 3610,3.4514,38,921,239,1023,241,26800.20481
House 3611,4.7228,36,1181,220,775,218,25994.78457
House 3612,4.0208,36,1488,313,1221,296,25728.76716
House 3613,4.5833,35,1507,281,1025,286,25994.78457
House 3614,4.5909,35,1026,195,753,185,25246.33523
House 3615,3.125,38,490,101,402,100,26290.35253
House 3616,4.0792,34,1102,212,949,212,27657.60837
House 3617,3.9167,28,1077,288,1377,293,27657.60837
House 3618,3.6384,32,2433,553,2318,532,26800.20481
House 3619,5.5124,34,325,60,433,83,27657.60837
House 3620,3.7,35,1583,324,1481,351,26574.18842
House 3621,3.9833,21,2143,565,1803,497,26378.36705
House 3622,3.5082,11,9053,2193,7096,2038,25289.01085
House 3623,2.3584,15,5738,1767,4620,1581,24201.70971
House 3624,3.0865,7,3299,794,2343,647,25289.01085
House 3625,4.8958,33,1121,231,1038,236,26574.18842
House 3626,3.7143,35,1416,261,995,272,25728.76716
House 3627,4.4688,35,1488,293,1112,288,25728.76716
House 3628,4.095,36,1660,301,1225,307,25493.2254
House 3629,3.725,35,2344,435,1531,399,25493.2254
House 3630,5.6629,33,2478,457,1567,446,24938.35999
House 3631,5.3767,29,1807,323,1234,310,23886.97625
House 3632,4.4432,35,2049,390,1286,385,24660.91651
House 3633,4.6827,36,1379,265,896,246,25728.76716
House 3634,4.5375,34,1550,279,1011,288,24938.35999
House 3635,3.4013,35,1225,228,720,231,24660.91651
House 3636,3.9615,37,1737,369,1061,356,24660.91651
House 3637,4.0057,37,1279,241,987,233,25728.76716
House 3638,4.0368,36,1730,387,1099,353,24415.04565
House 3639,3.66,34,1588,360,1080,340,23597.13981
House 3640,3.8083,41,1030,214,664,223,23340.03488
House 3641,3.325,39,1529,344,913,314,23340.03488
House 3642,4.5278,43,2257,429,1418,442,24415.04565
House 3643,2.6299,35,2288,617,2222,566,22928.28419
House 3644,3.9625,39,1500,333,998,309,22928.28419
House 3645,2.871,31,2057,601,2397,579,22928.28419
House 3646,2.0699,24,3442,1168,4625,1097,23116.75362
House 3647,2.5833,25,4393,1369,3781,1267,24201.70971
House 3648,2.7714,8,2609,786,1803,695,23116.75362
House 3649,2.585,19,9902,2814,7307,2660,24021.77552
House 3650,3.4612,36,1191,266,718,248,23340.03488
House 3651,4.8703,37,1665,335,1011,343,22268.65205
House 3652,2.875,41,1440,325,1014,322,22268.65205
House 3653,2.825,41,1582,399,1159,378,23340.03488
House 3654,4.2656,34,2300,429,1447,455,23597.13981
House 3655,2.425,17,3667,1209,2636,1054,22538.01395
House 3656,3.6618,36,1372,295,774,306,23597.13981
House 3657,3.6442,43,1220,222,729,230,24560.07802
House 3658,2.9803,30,2453,544,1753,506,23544.42594
House 3659,4.0167,35,2215,459,1594,446,23177.26553
House 3660,4.8194,45,972,181,554,187,23544.42594
House 3661,3.6591,36,2557,540,1556,491,24560.07802
House 3662,4.0049,37,1404,266,889,274,25583.73962
House 3663,4.8816,38,983,185,513,170,28354.57807
House 3664,4.1121,40,1283,246,594,236,27747.83489
House 3665,3.6,32,1444,317,1177,311,26760.91338
House 3666,3.5521,17,1787,463,1671,448,25784.17126
House 3667,1.3594,38,125,42,63,29,27344.30007
House 3668,4.775,35,2552,545,1850,503,26614.48653
House 3669,3.0083,18,3405,831,3001,795,25949.42524
House 3670,2.1518,43,1193,299,1184,320,25949.42524
House 3671,4.1181,36,1643,349,1414,337,25583.73962
House 3672,5.35,35,2830,518,1577,524,23177.26553
House 3673,5.592,35,1789,292,897,267,23177.26553
House 3674,3.695,40,712,149,533,155,24940.82203
House 3675,5.0818,35,1790,334,1277,345,24940.82203
House 3676,3.6845,32,1869,441,1516,432,23941.37416
House 3677,2.6667,14,2807,868,2729,803,23941.37416
House 3678,2.375,20,1176,344,864,318,25349.29233
House 3679,3.7708,35,1468,303,1295,300,24366.65445
House 3680,3.0833,33,1981,484,1665,466,24366.65445
House 3681,4.1857,34,3004,589,1938,568,23886.97625
House 3682,5.1586,29,2893,543,1636,540,22841.32944
House 3683,1,34,161,48,66,33,21802.24503
House 3684,5.6687,34,1531,278,1064,274,24938.35999
House 3685,3.1563,36,1392,326,1181,303,24818.8104
House 3686,4.2875,36,2080,455,1939,484,24818.8104
House 3687,3.7143,34,2272,558,2164,484,24818.8104
House 3688,2.9028,11,2127,581,1989,530,25784.17126
House 3689,2.2679,32,362,100,348,102,25349.29233
House 3690,2.8333,15,2485,742,1994,670,27204.32616
House 3691,3.7663,37,1512,348,1545,351,26244.14603
House 3692,3.025,41,1560,374,1668,389,26727.92099
House 3693,1.8929,41,337,65,198,50,25296.40089
House 3694,3.8,42,715,145,730,158,24366.65445
House 3695,3.0125,23,4138,1171,3911,1068,23395.59651
House 3696,2.0348,17,2594,1028,3950,973,22952.27767
House 3697,3.7455,33,2034,470,1990,423,24818.8104
House 3698,2.9861,34,2199,609,2488,597,23866.21191
House 3699,2.3182,38,1363,395,1798,405,24366.65445
House 3700,2.8917,33,1438,309,1378,306,23866.21191
House 3701,4.1445,11,2921,685,1512,664,23444.22891
House 3702,2.9583,34,1471,423,995,386,22543.36139
House 3703,2.8784,36,2233,605,1934,599,22543.36139
House 3704,3.1629,33,1829,512,1345,500,22005.91036
House 3705,2.6696,19,2890,821,2203,705,22927.96657
House 3706,3.0491,41,2000,485,1439,461,21974.93034
House 3707,2.0968,23,1875,710,2555,657,21974.93034
House 3708,2.2234,19,2012,732,3483,731,22952.27767
House 3709,2.1,41,2924,867,2751,836,22927.96657
House 3710,2.4375,37,1434,394,1667,404,22437.62203
House 3711,2.4306,32,993,285,1044,248,23395.59651
House 3712,3.6875,13,4859,1293,3351,1200,22537.86621
House 3713,3.625,37,934,231,587,230,21541.67344
House 3714,2.8424,30,2392,655,1987,609,22537.86621
